city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date
Ho Chi Minh City,VN,27.82,32.7,27.82,30.01,87,1010,Rain,mưa nhẹ,5.14,170,94,10000,2026-09-20 15:57:26,2026-09-20
Bien Hoa,VN,27.8,31.05,27.8,29.99,76,1010,Clouds,mây đen u ám,1.06,154,98,10000,2026-09-20 15:57:26,2026-09-20
Vung Tau,VN,28.08,31.99,28.08,28.08,78,1010,Clouds,mây cụm,3.93,180,53,10000,2026-09-20 15:57:26,2026-09-20
Thu Dau Mot,VN,30.03,37.03,27.84,30.03,79,1010,Clouds,mây đen u ám,5.14,170,98,10000,2026-09-20 15:57:26,2026-09-20
Ba Ria,VN,29.61,34.78,29.61,29.61,73,1010,Clouds,mây cụm,2.88,177,69,10000,2026-09-20 15:57:26,2026-09-20
