city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date
Ho Chi Minh City,VN,34.48,41.48,34.48,34.48,64,1005,Clouds,mây đen u ám,4.47,243,99,10000,2026-06-24 14:34:33,2026-06-24
Bien Hoa,VN,35.02,42.02,35.02,35.02,57,1005,Clouds,mây đen u ám,0.94,146,100,10000,2026-06-24 14:34:33,2026-06-24
Vung Tau,VN,30.95,37.95,30.95,30.95,74,1006,Clouds,mây rải rác,5.91,184,46,10000,2026-06-24 14:34:34,2026-06-24
Thu Dau Mot,VN,35.06,42.06,35.06,35.06,63,1005,Clouds,mây đen u ám,1.69,94,100,10000,2026-06-24 14:34:34,2026-06-24
Ba Ria,VN,32.48,38.89,32.48,32.48,62,1005,Clouds,mây đen u ám,3.06,197,86,10000,2026-06-24 14:34:34,2026-06-24
