city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date
Ho Chi Minh City,VN,32.82,39.82,32.82,32.82,74,1005,Clouds,mây đen u ám,2.68,156,100,10000,2026-06-29 15:52:00,2026-06-29
Bien Hoa,VN,32.8,39.8,32.8,32.8,69,1005,Clouds,mây đen u ám,4.71,221,100,10000,2026-06-29 15:52:00,2026-06-29
Vung Tau,VN,29.82,35.56,29.82,29.82,74,1005,Rain,mưa nhẹ,3.16,217,100,8134,2026-06-29 15:52:00,2026-06-29
Thu Dau Mot,VN,32.84,39.84,32.84,32.84,74,1004,Clouds,mây đen u ám,4.8,217,100,10000,2026-06-29 15:52:00,2026-06-29
Ba Ria,VN,30.82,36.83,30.82,30.82,69,1005,Clouds,mây đen u ám,3.79,239,99,10000,2026-06-29 15:52:00,2026-06-29
