city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date
Ho Chi Minh City,VN,35.6,42.6,35.01,35.6,63,1006,Clouds,mây rải rác,2.57,210,40,10000,2026-05-17T05:13:00.059080+00:00,2026-05-17
Bien Hoa,VN,35.58,42.58,34.99,35.58,61,1007,Clouds,mây đen u ám,2.61,289,100,10000,2026-05-17T05:13:00.111332+00:00,2026-05-17
Vung Tau,VN,30.85,36.07,30.85,30.85,66,1006,Clouds,mây đen u ám,3.32,197,87,10000,2026-05-17T05:13:00.161094+00:00,2026-05-17
Thu Dau Mot,VN,35.03,42.03,35.03,35.62,59,1006,Clouds,mây rải rác,2.57,210,40,10000,2026-05-17T05:13:00.214367+00:00,2026-05-17
Ba Ria,VN,34.31,41.31,34.31,34.31,56,1006,Clouds,mây đen u ám,3.05,243,85,10000,2026-05-17T05:13:00.269371+00:00,2026-05-17
