city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date
Ho Chi Minh City,VN,33.93,40.93,33.93,33.93,61,1004,Clouds,mây đen u ám,2.24,335,91,10000,2026-07-24 13:20:14,2026-07-24
Bien Hoa,VN,33.91,39.96,33.91,33.91,55,1004,Clouds,mây đen u ám,3.21,271,96,10000,2026-07-24 13:20:14,2026-07-24
Vung Tau,VN,29.25,34.11,29.25,29.25,74,1005,Rain,mưa nhẹ,5.23,185,97,10000,2026-07-24 13:20:14,2026-07-24
Thu Dau Mot,VN,33.95,40.95,33.95,33.95,61,1004,Clouds,mây đen u ám,3.07,256,98,10000,2026-07-24 13:20:14,2026-07-24
Ba Ria,VN,31.39,37.11,31.39,31.39,65,1005,Rain,mưa nhẹ,4.45,211,95,10000,2026-07-24 13:20:14,2026-07-24
