city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date
Ho Chi Minh City,VN,32.26,39.26,32.26,32.26,72,1005,Clouds,mây cụm,0.89,194,65,10000,2026-06-03 15:49:30,2026-06-03
Bien Hoa,VN,31.69,37.86,31.69,31.69,65,1004,Clouds,mây cụm,4.69,246,72,10000,2026-06-03 15:49:30,2026-06-03
Vung Tau,VN,30.43,37.21,30.43,30.43,74,1005,Clouds,mây đen u ám,5.59,207,100,6087,2026-06-03 15:49:30,2026-06-03
Thu Dau Mot,VN,31.73,38.73,31.73,31.73,73,1004,Clouds,mây cụm,5.38,238,78,10000,2026-06-03 15:49:30,2026-06-03
Ba Ria,VN,31.8,37.83,31.8,31.8,64,1004,Clouds,mây đen u ám,4.41,252,100,10000,2026-06-03 15:49:30,2026-06-03
