city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date
Ho Chi Minh City,VN,32.26,39.26,32.26,32.26,70,1007,Clouds,mây đen u ám,1.34,246,100,10000,2026-07-05 14:19:06,2026-07-05
Bien Hoa,VN,32.24,39.24,32.24,32.24,66,1008,Clouds,mây đen u ám,2.81,293,100,10000,2026-07-05 14:19:06,2026-07-05
Vung Tau,VN,31.04,38.04,31.04,31.04,74,1009,Clouds,mây đen u ám,5.23,162,100,10000,2026-07-05 14:19:06,2026-07-05
Thu Dau Mot,VN,32.28,39.28,32.28,32.28,70,1007,Clouds,mây đen u ám,2.56,277,100,10000,2026-07-05 14:19:06,2026-07-05
Ba Ria,VN,32.88,39.88,32.88,32.88,64,1009,Clouds,mây đen u ám,3.69,197,100,10000,2026-07-05 14:19:06,2026-07-05
