city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date
Ho Chi Minh City,VN,30.6,37.6,30.6,30.6,79,1006,Rain,mưa nhẹ,1.79,214,100,10000,2026-06-08 15:48:14,2026-06-08
Bien Hoa,VN,30.58,35.95,30.58,30.58,68,1006,Clouds,mây đen u ám,4.39,237,100,10000,2026-06-08 15:48:14,2026-06-08
Vung Tau,VN,30.06,36.46,30.06,30.06,75,1006,Clouds,mây đen u ám,6.84,217,100,10000,2026-06-08 15:48:14,2026-06-08
Thu Dau Mot,VN,30.62,37.62,30.62,30.62,79,1006,Clouds,mây đen u ám,4.49,238,100,10000,2026-06-08 15:48:14,2026-06-08
Ba Ria,VN,31.66,38.66,31.66,31.66,68,1006,Clouds,mây đen u ám,4.06,227,100,10000,2026-06-08 15:48:14,2026-06-08
