city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date
Ho Chi Minh City,VN,33.37,40.37,33.37,33.37,69,1006,Clouds,mây đen u ám,3.13,268,100,10000,2026-07-09 14:31:37,2026-07-09
Bien Hoa,VN,33.35,38.28,33.35,33.35,54,1006,Clouds,mây đen u ám,5.64,278,100,10000,2026-07-09 14:31:37,2026-07-09
Vung Tau,VN,29.75,34.44,29.75,29.75,70,1006,Clouds,mây đen u ám,8.76,225,100,10000,2026-07-09 14:31:37,2026-07-09
Thu Dau Mot,VN,33.39,40.39,33.39,33.39,69,1006,Clouds,mây đen u ám,6.07,272,100,10000,2026-07-09 14:31:37,2026-07-09
Ba Ria,VN,29.51,33.87,29.51,29.51,70,1006,Clouds,mây đen u ám,5.87,219,100,10000,2026-07-09 14:31:37,2026-07-09
