city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date,heat_index,temp_category
Ho Chi Minh City,VN,34.5,41.5,34.5,34.5,63,1008,Clouds,mây thưa,4.02,237,16,10000,2026-07-19 13:24:51,2026-07-19,31.8,nóng
Bien Hoa,VN,34.5,40.9,34.5,34.5,54,1008,Clouds,mây thưa,4.09,267,16,10000,2026-07-19 13:24:51,2026-07-19,31.6,nóng
Vung Tau,VN,28.6,33.4,28.6,28.6,78,1009,Clear,bầu trời quang đãng,6.78,171,5,10000,2026-07-19 13:24:51,2026-07-19,26.2,mát
Thu Dau Mot,VN,34.5,41.5,34.5,34.5,63,1008,Clouds,mây thưa,4.33,262,11,10000,2026-07-19 13:24:51,2026-07-19,31.8,nóng
Ba Ria,VN,31.4,37.0,31.4,31.4,64,1008,Clouds,mây rải rác,4.15,193,33,10000,2026-07-19 13:24:51,2026-07-19,28.7,nóng
