city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date,heat_index,temp_category
Ho Chi Minh City,VN,32.3,39.3,32.3,32.3,70,1006,Rain,mưa nhẹ,0.89,258,99,10000,2026-08-01 13:22:17,2026-08-01,29.7,nóng
Bien Hoa,VN,32.2,39.2,32.2,32.2,68,1006,Rain,mưa nhẹ,3.49,215,100,10000,2026-08-01 13:22:17,2026-08-01,29.6,nóng
Vung Tau,VN,27.9,31.5,27.9,27.9,77,1007,Rain,mưa nhẹ,4.31,179,100,10000,2026-08-01 13:22:17,2026-08-01,25.5,mát
Thu Dau Mot,VN,32.3,39.3,32.3,32.3,70,1006,Rain,mưa nhẹ,4.26,224,100,7546,2026-08-01 13:22:17,2026-08-01,29.7,nóng
Ba Ria,VN,30.2,35.3,30.2,30.2,69,1007,Clouds,mây đen u ám,3.51,194,100,10000,2026-08-01 13:22:17,2026-08-01,27.6,nóng
