city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date,heat_index,temp_category
Ho Chi Minh City,VN,30.0,37.0,30.0,30.0,84,1008,Clouds,mây cụm,4.63,160,75,10000,2026-05-20 20:40:16,2026-05-20,27.7,nóng
Bien Hoa,VN,30.0,37.0,30.0,30.0,80,1008,Clouds,mây cụm,4.09,155,80,10000,2026-05-20 20:40:16,2026-05-20,27.6,nóng
Vung Tau,VN,28.9,34.6,28.9,28.9,80,1008,Clouds,mây cụm,4.77,170,57,10000,2026-05-20 20:40:17,2026-05-20,26.5,mát
Thu Dau Mot,VN,30.0,37.0,30.0,30.1,84,1008,Clouds,mây cụm,4.63,160,75,10000,2026-05-20 20:40:17,2026-05-20,27.7,nóng
Ba Ria,VN,29.1,35.4,29.1,29.1,82,1008,Clouds,mây cụm,2.19,160,76,10000,2026-05-20 20:40:17,2026-05-20,26.8,mát
