city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date,heat_index,temp_category
Ho Chi Minh City,VN,33.4,40.4,33.4,33.4,64,1007,Clouds,mây cụm,4.47,198,82,10000,2026-08-02 13:27:39,2026-08-02,30.7,nóng
Bien Hoa,VN,32.8,38.7,32.8,32.8,59,1007,Clouds,mây cụm,3.95,242,80,10000,2026-08-02 13:27:39,2026-08-02,30.0,nóng
Vung Tau,VN,29.5,35.3,29.5,29.5,76,1008,Clouds,mây đen u ám,3.38,194,100,10000,2026-08-02 13:27:39,2026-08-02,27.0,mát
Thu Dau Mot,VN,32.8,39.8,32.8,32.8,65,1007,Clouds,mây cụm,4.28,236,82,10000,2026-08-02 13:27:39,2026-08-02,30.1,nóng
Ba Ria,VN,31.4,38.2,31.4,31.4,68,1008,Clouds,mây đen u ám,3.49,213,100,10000,2026-08-02 13:27:39,2026-08-02,28.8,nóng
