city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date,heat_index,temp_category
Ho Chi Minh City,VN,34.5,41.5,34.5,34.5,64,1005,Clouds,mây đen u ám,4.47,243,99,10000,2026-06-24 14:34:33,2026-06-24,31.8,nóng
Bien Hoa,VN,35.0,42.0,35.0,35.0,57,1005,Clouds,mây đen u ám,0.94,146,100,10000,2026-06-24 14:34:33,2026-06-24,32.1,rất nóng
Vung Tau,VN,31.0,38.0,31.0,31.0,74,1006,Clouds,mây rải rác,5.91,184,46,10000,2026-06-24 14:34:34,2026-06-24,28.5,nóng
Thu Dau Mot,VN,35.1,42.1,35.1,35.1,63,1005,Clouds,mây đen u ám,1.69,94,100,10000,2026-06-24 14:34:34,2026-06-24,32.4,rất nóng
Ba Ria,VN,32.5,38.9,32.5,32.5,62,1005,Clouds,mây đen u ám,3.06,197,86,10000,2026-06-24 14:34:34,2026-06-24,29.7,nóng
