city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date,heat_index,temp_category
Ho Chi Minh City,VN,27.8,32.4,27.8,28.0,85,1007,Rain,mưa vừa,3.6,210,100,8337,2026-09-12 15:16:01,2026-09-12,25.5,mát
Bien Hoa,VN,27.8,32.0,27.8,28.0,83,1007,Rain,mưa vừa,3.91,235,100,4457,2026-09-12 15:16:01,2026-09-12,25.5,mát
Vung Tau,VN,27.7,31.6,27.7,27.7,81,1007,Rain,mưa nhẹ,6.51,212,100,10000,2026-09-12 15:16:01,2026-09-12,25.3,mát
Thu Dau Mot,VN,28.0,32.6,27.8,28.0,83,1007,Rain,mưa vừa,3.6,210,100,5574,2026-09-12 15:16:01,2026-09-12,25.7,mát
Ba Ria,VN,28.8,33.8,28.8,28.8,78,1007,Rain,mưa nhẹ,4.42,215,100,10000,2026-09-12 15:16:01,2026-09-12,26.4,mát
