city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date,heat_index,temp_category
Ho Chi Minh City,VN,28.9,35.4,28.9,29.0,84,1007,Clouds,mây cụm,1.03,0,75,10000,2026-05-17 17:54:24.656459+00:00,2026-05-17,26.6,mát
Bien Hoa,VN,28.9,34.5,28.9,29.0,80,1007,Clouds,mây đen u ám,2.36,151,99,10000,2026-05-17 17:54:24.719232+00:00,2026-05-17,26.5,mát
Vung Tau,VN,28.1,32.2,28.1,28.1,79,1007,Clouds,mây đen u ám,4.38,222,99,10000,2026-05-17 17:54:24.774926+00:00,2026-05-17,25.7,mát
Thu Dau Mot,VN,29.0,35.7,29.0,29.0,84,1007,Clouds,mây cụm,1.03,0,75,10000,2026-05-17 17:54:24.826220+00:00,2026-05-17,26.7,mát
Ba Ria,VN,27.8,31.6,27.8,27.8,81,1007,Clouds,mây đen u ám,2.67,208,100,10000,2026-05-17 17:54:24.895103+00:00,2026-05-17,25.4,mát
