city,country,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,weather_main,weather_desc,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,extracted_at,extracted_date,heat_index,temp_category
Ho Chi Minh City,VN,30.1,37.1,30.1,30.1,80,1008,Clouds,mây cụm,4.04,172,69,10000,2026-05-13 16:11:25.950111+00:00,2026-05-13,27.7,nóng
Hanoi,VN,27.2,30.9,27.2,27.2,87,1001,Clouds,mây đen u ám,3.38,132,95,10000,2026-05-13 16:11:26.450030+00:00,2026-05-13,25.0,mát
Da Nang,VN,29.1,35.6,29.1,29.1,83,1006,Clouds,mây rải rác,2.72,203,37,10000,2026-05-13 16:11:26.979768+00:00,2026-05-13,26.8,mát
Can Tho,VN,28.7,35.7,28.7,28.7,89,1008,Clouds,mây cụm,2.28,188,70,10000,2026-05-13 16:11:27.572466+00:00,2026-05-13,26.5,mát
Hue,VN,29.8,35.1,29.8,29.8,73,1005,Clouds,mây rải rác,1.77,198,33,10000,2026-05-13 16:11:28.094394+00:00,2026-05-13,27.3,mát
